hexagram_line_id,position,is_constituting_ruler,is_governing_ruler,change_text,change_interpretation,created_at,updated_at,deleted_at,hexagram_id
91,1,f,f,"Enthusiasm that expresses itself
Brings misfortune.","A person's self-centered boasting about their aristocratic connections, despite their inferior position, can lead to misfortune. Genuine enthusiasm should not be self-focused but should instead be a shared feeling that brings people together.",2023-06-16 00:44:46.128944+00,2023-06-16 02:43:09.926045+00,,16
96,6,f,f,"Deluded enthusiasm.
But if after completion one changes,
There is no blame.","Deluding oneself with enthusiasm is undesirable. However, if this delusion has ceased and one remains open to change, one is liberated from error. A sober and timely realization of false enthusiasm is both achievable and beneficial.",2023-06-16 00:54:41.430595+00,2023-06-16 02:45:26.578409+00,,16
133,1,f,f,"The leg of the bed is split.
Those who persevere are destroyed.
Misfortune.","A concerning trend is emerging as individuals with malicious intent attempt to undermine those in positions of power. They employ deceptive tactics, gradually weakening the foundation from within. Even the faithful followers of the leader fall victim to false accusations and schemes. The situation appears grim, and all that can be done is to exercise patience and await the outcome.",2023-06-16 15:36:08.8921+00,2023-06-16 15:36:08.892113+00,,23
134,2,f,f,"The bed is split at the edge.
Those who persevere are destroyed.
Misfortune.","The power of those considered inferior is increasing, and the threat is approaching. There are clear signs of danger, causing restlessness. Currently, there is no support or assistance from higher or lower sources. In this isolating situation, extreme caution is crucial. It is important to adapt to the circumstances and swiftly evade the danger. Persisting stubbornly in maintaining one's position would result in failure.",2023-06-16 15:36:54.727506+00,2023-06-16 15:36:54.727516+00,,23
97,1,t,t,"The standard is changing.
Perseverance brings good fortune.
To go out of the door in company
Produces deeds.","In leadership, the relationship between leaders and followers can undergo exceptional changes. Leaders must maintain accessibility and responsiveness to their followers' perspectives while adhering to firm principles. They should not waver based solely on current opinions. To truly listen to others' opinions, leaders should engage with a diverse range of individuals, including those who may hold contrasting views or belong to different parties. By interacting freely with both friends and foes, leaders can create opportunities for meaningful accomplishments.",2023-06-16 00:57:25.157688+00,2023-06-16 00:57:25.157705+00,,17
98,2,f,f,"If one clings to the little boy,
One loses the strong man.","In friendships and close relationships, it is crucial to make a careful choice. One must decide whether to associate with good or bad company, as having both simultaneously is not possible. If one chooses unworthy friends, they lose the opportunity to connect with intellectually powerful individuals who can contribute positively to their growth.",2023-06-16 00:58:24.407237+00,2023-06-16 00:58:24.407252+00,,17
99,3,f,f,"If one clings to the strong man,
One loses the little boy.
Through following one finds what one seeks.
It furthers one to remain persevering.","Establishing meaningful connections with distinguished individuals often comes at a cost. It requires separating from those who are inferior or superficial. Yet, this sacrifice brings a sense of fulfillment as it contributes to personal growth. The key is to stay resolute, knowing one's goals and not being swayed by fleeting desires.",2023-06-16 01:00:14.829592+00,2023-06-16 01:00:14.829608+00,,17
100,4,f,f,"Following creates success.
Perseverance brings misfortune.
To go one's way with sincerity brings clarity.
How could there be blame in this?","When a person gains influence, they may attract followers by patronizing those beneath them. However, these followers are driven by self-interest and aim to benefit themselves through flattery and subservience. Relying on such individuals leads to misfortune. True clarity and freedom from blame come when one transcends their ego, remains focused on what is right and essential, and sees through such manipulative individuals.",2023-06-16 01:01:33.147082+00,2023-06-16 01:01:33.147097+00,,17
101,5,t,t,Sincere in the good. Good fortune.,"Having a guiding principle is essential for every individual. It provides direction and strength. By embracing the pursuit of beauty and goodness, one can find purpose and fortitude.",2023-06-16 01:02:39.686206+00,2023-06-16 01:02:39.686225+00,,17
102,6,f,f,"He meets with firm allegiance
And is still further bound.
The king introduces him
To the Western Mountain.","In an allegory from the Chou dynasty, a revered sage retreats from the world's chaos. However, a determined follower seeks his guidance, prompting the sage to return and assist the follower in his endeavors. This creates an everlasting connection between the two. In the Chou dynasty, loyal individuals were honored by being included in the royal family's ancestral temple on the Western Mountain, symbolizing their shared destiny with the ruling family.",2023-06-16 01:04:45.232771+00,2023-06-16 01:04:45.232785+00,,17
106,4,f,f,"Tolerating what has been spoiled by the father.
In continuing one sees humiliation.","The situation depicts an individual lacking the strength to address the emerging consequences of past decay. Without intervention, the decay will progress unhindered, potentially leading to humiliation.",2023-06-16 01:19:26.66004+00,2023-06-16 01:19:26.660055+00,,18
107,5,t,t,"Setting right what has been spoiled by the father.
One meets with praise.","An individual faces corruption resulting from past negligence. Alone, they lack the power to resist it. However, with capable allies, they can strive for comprehensive reform, if not a complete reset. This endeavor deserves admiration.",2023-06-16 01:21:58.188689+00,2023-06-16 01:21:58.188703+00,,18
1,1,f,f,Hidden dragon. Do not act.,"In Chinese culture, the dragon symbolizes a powerful force associated with thunderstorms. In winter, this energy lies dormant, but it becomes active again in early summer, representing the reawakening of creative forces on Earth. The dragon also represents a humble and resilient person who remains true to themselves, unaffected by external success or failure. Such individuals possess inner strength and patiently wait for their abilities to be recognized. Those who seek guidance from the oracle and receive this message should stay calm, strong, and patient. The fulfillment of time is certain, so there is no need to fear one's willpower. It is important not to exhaust energy prematurely by forcing the attainment of something that is not yet ready.",2023-06-12 16:42:58.703474+00,2023-06-16 01:26:07.114039+00,,1
15,3,f,f,"Whoever hunts deer without the forester
Only loses his way in the forest.
The superior man understands the signs of the time
And prefers to desist.
To go on brings humiliation.","In unfamiliar forests, navigating without a guide can lead to getting lost. It's important not to hastily escape when faced with difficulties. Deceiving fate ultimately leads to failure and shame. Instead, a wise person understands the signs of future events and chooses to let go of desires rather than forcing their fulfillment, to avoid the risk of failure and embarrassment.",2023-06-12 21:56:29.111876+00,2023-06-16 01:36:36.694634+00,,3
34,4,f,f,"One cannot engage in conflict.
One turns back and submits to fate,
Changes one's attitude,
And finds peace in perseverance.
Good fortune.","A person lacking inner peace seeks improvement through conflict but faces a weaker opponent. They may succeed temporarily, but cannot continue due to the lack of moral justification. Consequently, they choose to retreat and accept their fate. However, a change of heart leads them to find lasting peace by aligning themselves with universal principles. This brings about positive outcomes.",2023-06-13 00:32:13.996934+00,2023-06-16 01:59:12.298891+00,,6
105,3,f,f,"Setting right what has been spoiled by the father.
There will be a little remorse. No great blame.","A person actively corrects past mistakes, showing energetic behavior. This leads to occasional disagreements and annoyances, but having excess energy is better than having too little. Although there are some minor regrets, the person is not significantly at fault.",2023-06-16 01:15:58.921583+00,2023-06-16 02:48:11.600546+00,,18
104,2,f,f,"Setting right what has been spoiled by the mother.
One must not be too persevering.","This passage discusses the concept of mistakes resulting from personal weakness leading to decay, symbolized as ""what has been spoiled by the mother."" It suggests that when correcting such mistakes, a gentle approach is necessary to avoid causing harm. It advises against taking overly drastic measures in order to prevent further damage.",2023-06-16 01:13:49.861657+00,2023-06-16 02:49:37.464866+00,,18
135,3,f,f,He splits with them. No blame.,"A person trapped in a negative environment due to external influences can find solace in a close bond with a more admirable individual. This connection empowers them to break free from the influence of the inferior people around them. Although this may lead to conflict with those individuals, it is not inherently incorrect.",2023-06-16 15:37:23.271829+00,2023-06-16 15:37:23.27184+00,,23
154,4,f,f,"The headboard of a young bull.
Great good fortune.","A strategy to control and channel an advancing force is to anticipate it and take preventive measures. Just as a headboard is attached to a young bull's forehead before its horns grow, restraining wild energy in advance can lead to effortless and significant accomplishments.",2023-06-16 15:56:17.426693+00,2023-06-16 15:56:17.426704+00,,26
47,5,t,t,"Manifestation of holding together.
In the hunt the king uses beaters on three sides only
And forgoes game that runs off in front.
The citizens need no warning.
Good fortune.","In ancient China, during royal hunts, animals were directed from three sides, leaving one side for their escape. Only the animals that approached the gate, where the king stood, were targeted. This approach aimed to minimize unnecessary killing and selectively take animals that willingly exposed themselves. Similarly, a ruler or influential figure attracts people without inviting or flattering them. Those who seek them are accepted, while others are allowed to go their own way. This fosters voluntary dependence and eliminates the need for strict control. The same principle applies to life in general, where seeking favor from others is unnecessary. By cultivating purity and strength within themselves, individuals naturally attract those meant for them.",2023-06-15 15:25:17.690707+00,2023-06-16 02:31:39.788746+00,,8
75,3,f,f,"He hides weapons in the thicket;
He climbs the high hill in front of it.
For three years he does not rise up.","The fellowship deteriorates due to growing mistrust among its members. Each individual suspects and prepares for secret ambushes, resorting to spying on one another from afar. This represents the obstacles that hinder genuine fellowship. With hidden reservations and a desire to catch their opponent off guard, trust diminishes and suspicion escalates. Both sides become cautious, anticipating similar deceit from the other. As a result, authentic fellowship diminishes, leading to a gradual increase in alienation over time.",2023-06-15 23:26:37.715907+00,2023-06-16 02:38:38.514121+00,,13
94,4,t,t,"The source of enthusiasm.
He achieves great things.
Doubt not.
You gather friends around you
As a hair clasp gathers the hair.","This passage discusses an individual who possesses the ability to inspire enthusiasm in others due to their unwavering certainty and lack of hesitation. Their sincerity and confidence in others result in attracting people and gaining their wholehearted cooperation. By providing support, this person brings people together, similar to how a clasp holds hair in place. This quality enables them to achieve success.",2023-06-16 00:52:39.958319+00,2023-06-16 02:44:42.845363+00,,16
103,1,f,f,"Setting right what has been spoiled by the father.
If there is a son,
No blame rests upon the departed father.
Danger. In the end good fortune.","Decay caused by rigid adherence to tradition can be remedied before it becomes deeply ingrained. It's comparable to compensating for a father's mistakes without blaming him. However, the danger should not be underestimated, and reforms should be approached with caution. Awareness of the risks associated with change is crucial for a successful outcome.",2023-06-16 01:12:32.57317+00,2023-06-16 02:47:13.868101+00,,18
108,6,f,f,"He does not serve kings and princes,
Sets himself higher goals.","Not all individuals are obligated to engage in worldly matters. Some are sufficiently advanced that they are justified in allowing the world to progress without their active involvement in public affairs for the purpose of reform. However, this does not grant them the right to be idle or solely criticize. This withdrawal is only justified when they strive to achieve higher human aspirations within themselves. Despite staying detached from the chaos of everyday life, wise individuals contribute invaluable human achievements that benefit future generations.",2023-06-16 02:51:12.528182+00,2023-06-16 02:51:12.5282+00,,18
109,1,t,t,"Joint approach.
Perseverance brings good fortune.","The tide is turning in favor of good, gaining support among influential circles. This encourages capable individuals to take action. It is advisable to align with this positive trend, but it is important not to be blindly swayed by popular opinion. We must remain steadfast in our commitment to what is morally correct. By doing so, we will attract favorable outcomes.",2023-06-16 03:40:17.207743+00,2023-06-16 03:40:17.207754+00,,19
110,2,t,t,"Joint approach.
Good fortune.
Everything furthers.","When motivated by ambition and self-assurance, one can expect favorable outcomes. Recognizing the impermanence of worldly matters, including the inevitability of ups and downs, should not lead to confusion. All experiences contribute to progress, enabling swift, honest, and courageous navigation through life's journeys.",2023-06-16 03:41:08.855511+00,2023-06-16 03:41:08.855526+00,,19
111,3,f,f,"Comfortable approach.
Nothing that would further.
If one is induced to grieve over it,
One becomes free of blame.","A person's success in attaining power and influence can bring risks if they become complacent and exhibit a casual and careless demeanor towards others. This behavior would undoubtedly have negative consequences. However, there is a chance for a shift in attitude. If the person recognizes their mistakes, acknowledges the responsibilities that come with their influential position, and actively works to improve, they can overcome their shortcomings.",2023-06-16 03:42:26.436011+00,2023-06-16 03:42:26.436023+00,,19
112,4,f,f,"Complete approach.
No blame.","The text describes the significance of three lower lines representing a rise to power, while the three upper lines reflect the attitude of individuals in higher positions toward those of lower rank whom they assist. It highlights an open-minded approach of a high-ranking individual who embraces a person's abilities and includes them in their circle, disregarding class bias. This is viewed as highly favorable.",2023-06-16 03:43:13.72067+00,2023-06-16 03:43:13.720681+00,,19
113,5,f,f,"Wise approach.
This is right for a great prince.
Good fortune.","A leader, whether a prince or anyone in a position of authority, must possess the wisdom to attract capable individuals skilled in governance. This wisdom lies in both the selection of competent individuals and in granting them autonomy without unnecessary interference. By exercising self-restraint, the leader can find the necessary experts to fulfill their diverse needs.",2023-06-16 03:43:49.438332+00,2023-06-16 03:43:49.438342+00,,19
114,6,f,f,"Good-hearted approach.
Good fortune. No blame.","A wise person, detached from the world, may choose to re-engage with others, bringing great fortune to those they assist. This selfless act is commendable and carries no fault.",2023-06-16 03:44:54.585962+00,2023-06-16 03:44:54.585972+00,,19
115,1,f,f,"Boy like contemplation.
For an inferior man, no blame.
For a superior man, humiliation.","The concept described here is that of contemplation from a distance without comprehension. It refers to a situation where a person of influence is present, but their influence is not understood by the general population. While the common people may still benefit from the actions of this influential figure, regardless of their understanding, it is considered a disgrace for a superior individual. A superior person is expected to go beyond a shallow and thoughtless perspective of the prevailing forces. Instead, they should strive to comprehend these forces as a connected whole.",2023-06-16 15:17:46.467225+00,2023-06-16 15:17:46.467243+00,,20
116,2,f,f,"Contemplation through the crack of the door.
Furthering for the perseverance of a woman.","Contemplation within the confines of one's own perspective can be self-centered and limited. This inward focus is viewed as suitable for a traditional gender role like that of a housewife, who may not need to be knowledgeable about worldly matters. However, for individuals involved in public life, such narrow and egocentric contemplation can be detrimental. Active participation in society requires a broader understanding and the ability to empathize with others' motivations.",2023-06-16 15:19:04.501294+00,2023-06-16 15:19:04.50131+00,,20
117,3,f,f,"Contemplation of my life
Decides the choice
Between advance and retreat.","In this phase of transition, our focus shifts inward, away from external influences. Instead of relying on limited and confusing external pictures, we turn our contemplation towards ourselves to find guidance for decision-making. This self-reflection helps us overcome a simplistic self-centeredness, enabling us to develop objectivity. Self-knowledge, however, does not involve excessive preoccupation with our own thoughts. It entails being mindful of the impact we have on others. The effects our actions generate become the basis for evaluating whether we are progressing or regressing.",2023-06-16 15:19:49.544661+00,2023-06-16 15:19:49.544678+00,,20
118,4,f,f,"Contemplation of the light of the kingdom.
It furthers one to exert influence as the guest of a king.","A knowledgeable individual who understands the strategies for a prosperous kingdom should be granted a position of authority, where they can exert influence. They should be respected and given independence, rather than being treated as a mere tool.",2023-06-16 15:20:34.606932+00,2023-06-16 15:20:34.606948+00,,20
119,5,t,t,"Contemplation of my life.
The superior man is without blame.","An authoritative figure should engage in self-examination, focusing on the impact they have on others. Genuine self-reflection lies in assessing the positive effects one generates and the influence they wield. By ensuring their effects and influence are beneficial, individuals can find satisfaction in understanding themselves as free from errors.",2023-06-16 15:23:15.268622+00,2023-06-16 15:23:15.268641+00,,20
120,6,t,t,"Contemplation of his life.
The superior man is without blame.","In this description, the focus is on a person who is detached from personal matters and positioned as a sage observing the world. The sage is free from ego and contemplates the laws of life, emphasizing the importance of avoiding blame as the ultimate virtue.",2023-06-16 15:24:32.106957+00,2023-06-16 15:24:32.106971+00,,20
121,1,f,f,"His feet are fastened in the stocks,
So that his toes disappear.
No blame.","A first offense is met with a mild punishment where only the toes are placed in stocks. This aims to prevent further wrongdoing and absolve the person of blame, serving as a warning to stop pursuing the path of evil.",2023-06-16 15:25:49.715555+00,2023-06-16 15:25:49.71557+00,,21
122,2,f,f,"Bites through tender meat,
So that his nose disappears.
No blame.","In this scenario, distinguishing right from wrong is straightforward, akin to biting into tender meat. However, when confronted with a hardened sinner, anger can push one to exceed reasonable limits. The metaphor of the nose disappearing suggests that intense indignation can overshadow finer judgment. Nevertheless, the consequences in this case are justified and not overly detrimental.",2023-06-16 15:26:33.323229+00,2023-06-16 15:26:33.32324+00,,21
123,3,f,f,"Bites on old dried meat
And strikes on something poisonous.
Slight humiliation. No blame.","The person responsible for carrying out punishment lacks the necessary power and authority, leading to non-compliance from the culprits. This represents an enduring issue, exemplified by spoiled meat. Difficulties arise in addressing this problem, as the punisher incites intense hatred towards themselves, resulting in a somewhat degrading position. However, since punishment was necessary given the circumstances, the punisher is not at fault.",2023-06-16 15:27:16.621559+00,2023-06-16 15:27:16.621569+00,,21
124,4,f,f,"Bites on dried gristly meat.
Receives metal arrows.
It furthers one to be mindful of difficulties
And to be persevering.
Good fortune.","Overcoming obstacles and punishing powerful opponents requires determination. It is crucial to remain resilient and focused, adopting a strong and unwavering approach. By acknowledging the challenges and persisting, one can achieve success and good fortune. With perseverance, the difficult task can be accomplished in the end.",2023-06-16 15:27:58.618887+00,2023-06-16 15:27:58.618902+00,,21
125,5,t,t,"Bites on dried lean meat.
Receives yellow gold.
Perseveringly aware of danger.
No blame.","The case is challenging yet evident. Our inclination towards leniency necessitates an unwavering commitment to fairness, resembling both the truthfulness of gold and the impartiality of the color yellow, which represents the middle ground. To prevent errors, we must remain aware of the risks associated with our assumed responsibility.",2023-06-16 15:28:53.864068+00,2023-06-16 15:28:53.864078+00,,21
126,6,f,f,"His neck is fastened in the wooden cangue,
So that his ears disappear.
Misfortune.","A man is described as incorrigible and faces punishment with a wooden cangue, rendering him deaf to warnings. His obstinacy results in misfortune.",2023-06-16 15:29:31.693981+00,2023-06-16 15:29:31.693991+00,,21
127,1,f,f,"He lends grace to his toes, leaves the carriage, and walks.","A subordinate beginner should take the initiative to progress, even if it requires extra effort. While there may be a chance to conveniently bypass obstacles, a person of integrity rejects dishonest assistance. Walking with dignity is preferred over falsely riding in a carriage.",2023-06-16 15:30:12.458738+00,2023-06-16 15:30:12.45875+00,,22
128,2,t,t,Lends grace to the beard on his chin.,The image suggests that the beard is not separate but connected to the chin. This implies that form should be seen as a result and attribute of content. The beard is considered unnecessary decoration. Focusing solely on grooming the beard without considering the inner content it adorns indicates vanity.,2023-06-16 15:30:48.144412+00,2023-06-16 15:30:48.144422+00,,22
129,3,f,f,"Graceful and moist.
Constant perseverance brings good fortune.","In a charming life situation, one can be captivated by grace and the relaxed atmosphere created by wine. However, it's important to be cautious not to become too immersed in leisurely idleness. Instead, it is advised to maintain steadfastness and perseverance to avoid being overwhelmed. The key to good fortune lies in this principle.",2023-06-16 15:31:44.164239+00,2023-06-16 15:31:44.164252+00,,22
130,4,f,f,"Grace or simplicity?
A white horse comes as if on wings.
He is not a robber,
He will woo at the right time.","In a situation where one must choose between external brilliance and simplicity, doubts arise. The doubt itself suggests that simplicity is the better path. Confirmation comes externally, like a white winged horse—a symbol of simplicity. Although renouncing potential comforts may be initially disappointing, true peace of mind is found in a genuine connection with a friend who actively pursues that person. The winged horse represents transcendent thoughts beyond limitations of space and time.",2023-06-16 15:32:37.064082+00,2023-06-16 15:32:37.064093+00,,22
131,5,f,f,"Grace in the hills and gardens.
The roll of silk is meager and small.
Humiliation, but in the end good fortune.","In this story, a person decides to distance themselves from those who prioritize extravagance and opulence and seeks solace in the seclusion of higher grounds. They encounter someone they admire and desire as a friend. Despite feeling inadequate due to their limited and humble offerings, they realize that genuine emotions are more valuable than material possessions. Ultimately, their sincerity leads to a positive outcome.",2023-06-16 15:33:22.100864+00,2023-06-16 15:33:22.100875+00,,22
132,6,t,t,Simple grace. No blame.,"At the highest stage of development, ornamentation is abandoned. Form no longer hides content, but highlights its full value. True elegance lies not in decorating the surface, but in the harmonious suitability of its shape.",2023-06-16 15:34:12.117241+00,2023-06-16 15:34:12.117253+00,,22
137,5,f,f,"A shoal of fishes. Favor comes through the court ladies.
Everything acts to further.","In this situation, the dark force near the strong, illuminating principle undergoes a transformation. Instead of opposing it through schemes, it now follows its guidance. As the leader of the weaker lines, it directs them towards the strong line, much like a princess leading her attendants to her husband and gaining his favor. By willingly aligning itself with the higher element, the lower element achieves happiness, and the higher element also benefits. As a result, everything progresses positively.",2023-06-16 15:38:47.556132+00,2023-06-16 15:38:47.556142+00,,23
138,6,t,t,"There is a large fruit still uneaten.
The superior man receives a carriage.
The house of the inferior man is split apart.","In times of misfortune, there is hope for better days. Goodness endures, and when challenges pass, new growth emerges like a seed sprouting into a plant. The wise and influential person regains power, supported by public opinion. However, the wickedness of the inferior person leads to their own downfall. Nature operates on this principle, where evil not only harms the good but ultimately destroys itself. Evil relies on negation and cannot sustain itself independently. The inferior person benefits when guided by a superior person's control.",2023-06-16 15:39:40.569765+00,2023-06-16 15:39:40.569776+00,,23
139,1,t,t,"Return from a short distance.
No need for remorse.
Great good fortune.","To develop character, it's crucial to address any slight digressions before they take hold. This prevents regrets and ensures progress.",2023-06-16 15:40:39.032688+00,2023-06-16 15:40:39.032702+00,,24
140,2,f,f,Quiet return. Good fortune.,Making decisions and mastering oneself is essential in life. It becomes easier when surrounded by supportive individuals. Setting aside pride and learning from positive role models leads to favorable outcomes.,2023-06-16 15:41:18.239731+00,2023-06-16 15:41:18.239742+00,,24
141,3,f,f,Repeated return. Danger. No blame.,"Some individuals with inner instability have a persistent desire to contradict themselves. It is risky to repeatedly abandon what is right due to uncontrolled cravings and then return to it because of a newfound determination. Nevertheless, this cycle does not result in becoming accustomed to wrongdoing, leaving room for a potential inclination to overcome this flaw.",2023-06-16 15:42:35.016228+00,2023-06-16 15:42:35.016241+00,,24
142,4,f,f,"Walking in the midst of others,
One returns alone.","In a society of lesser individuals, a person finds solace in a deep spiritual connection with a strong and virtuous friend. This connection inspires them to choose a path of righteousness, even if it means going against the crowd. While there is no explicit mention of rewards or punishments, the decision to embrace goodness inherently brings its own positive outcomes.",2023-06-16 15:43:13.510334+00,2023-06-16 15:43:13.51035+00,,24
143,5,f,f,Noblehearted return. No remorse.,"When it's time to face the consequences, one should avoid making flimsy excuses and instead introspect. If a person has made a mistake, they should bravely admit their fault and commit to making amends. Choosing this path will bring no regrets.",2023-06-16 15:44:00.909836+00,2023-06-16 15:44:00.90985+00,,24
144,6,f,f,"Missing the return. Misfortune.
Misfortune from within and without.
If armies are set marching in this way,
One will in the end suffer a great defeat,
Disastrous for the ruler of the country.
For ten years
It will not be possible to attack again.","This passage illustrates the consequences of a person's wrong attitude and stubbornness. If a person fails to return at the right time, they will face misfortune. The misfortune arises from their misguided perspective towards the world. It emphasizes that the negative outcome is a result of their obstinacy and the subsequent judgment it brings upon them.",2023-06-16 15:45:08.476139+00,2023-06-16 15:45:08.476153+00,,24
145,1,t,t,Innocent behavior brings good fortune.,"The heart's original impulses are inherently positive, allowing us to pursue them with confidence, leading to success and the fulfillment of our goals.",2023-06-16 15:47:56.182651+00,2023-06-16 15:47:56.182662+00,,25
146,2,f,f,"If one does not count on the harvest while plowing,
Nor on the use of the ground while clearing it,
It furthers one to undertake something.","To achieve success, it is essential to focus on each task independently, considering its relevance to the current circumstances without fixating on the outcome. By adopting this approach, every task can be performed effectively, leading to overall success.",2023-06-16 15:48:51.574003+00,2023-06-16 15:48:51.574012+00,,25
147,3,f,f,"Undeserved misfortune.
The cow that was tethered by someone
Is the wanderer's gain, the citizen's loss.","In life, unfortunate events can occur when one person causes harm to another, such as when someone takes a cow that is tied up. This action benefits the taker but harms the owner. To avoid such situations, we must adapt to the circumstances and be mindful in all our dealings. Failure to do so may result in unexpected misfortune. It is important to be aware of the demands of the time and act accordingly to protect ourselves from unfavorable outcomes.",2023-06-16 15:49:28.153862+00,2023-06-16 15:49:28.153873+00,,25
148,4,f,f,"He who can be persevering
Remains without blame.","We should stay true to ourselves and not worry about losing what truly belongs to us, even if we discard it. Our main focus should be on being authentic and not being influenced by others.",2023-06-16 15:50:03.90991+00,2023-06-16 15:50:03.909922+00,,25
149,5,t,t,"Use no medicine in an illness
Incurred through no fault of your own.
It will pass of itself.","If an unforeseen evil arises, not stemming from one's own nature, it is best not to use external methods to eliminate it. Instead, one should allow nature to follow its course without interference. By doing so, improvement will naturally occur.",2023-06-16 15:50:42.989824+00,2023-06-16 15:50:42.989836+00,,25
150,6,f,f,"Innocent action brings misfortune.
Nothing furthers.","In certain situations, when progress is not feasible, it is wise to patiently wait without any hidden intentions. Acting impulsively and attempting to force progress against the natural course of events will not lead to success.",2023-06-16 15:51:15.321892+00,2023-06-16 15:51:15.321902+00,,25
151,1,f,f,Danger is at hand. It furthers one to desist.,"A person faces obstacles hindering their progress and feels held back. Forcing an advance would lead to misfortune, so it's advisable to remain composed and wait for an opportunity to release their stored-up energies.",2023-06-16 15:52:00.003112+00,2023-06-16 15:52:00.003122+00,,26
152,2,f,f,The axletrees are taken from the wagon.,"This line illustrates a situation where advance is hindered, similar to the third line of The Taming Power of the Small hexagram. However, in this case, the restraining force is stronger, avoiding any conflict. Instead, one chooses to wait patiently, removing the axletrees from the wagon and preparing for a future energetic advance.",2023-06-16 15:54:12.327873+00,2023-06-16 15:54:12.327884+00,,26
153,3,f,f,"A good horse that follows others.
Awareness of danger,
With perseverance, furthers.
Practice chariot driving and armed defense daily.
It furthers one to have somewhere to go.","In the face of hindrances, a person finds a clear path. They encounter someone with a strong will aligned with theirs, and together they progress harmoniously. However, caution is necessary as risks persist, demanding vigilance to maintain steadfastness. It is vital to develop proficiency in advancing towards the desired objective while also being prepared for unexpected challenges. Having a goal to pursue is beneficial in navigating such circumstances.",2023-06-16 15:54:53.390752+00,2023-06-16 15:54:53.390762+00,,26
155,5,t,t,"The tusk of a gelded boar.
Good fortune.","Restraining impulsive forward drive is done indirectly. A boar's tusk is dangerous, but if the boar's nature changes, the tusk loses its threat. Similarly, with people, wild force shouldn't be confronted head-on; rather, its underlying causes should be eliminated.",2023-06-16 15:57:10.728972+00,2023-06-16 15:57:10.729071+00,,26
156,6,t,t,One attains the way of heaven. Success.,"In the past, inhibition held back energy, but now it breaks free and brings great success. This refers to an individual honored by the ruler, whose principles now shape the world.",2023-06-16 15:57:47.673001+00,2023-06-16 15:57:47.673011+00,,26
157,1,f,f,"You let your magic tortoise go,
And look at me with the corners of your mouth drooping.
Misfortune.","The magic tortoise symbolizes a person who possesses extraordinary powers and sustains themselves without material needs. It represents someone who, despite having the ability to live independently, chooses to abandon self-reliance. Instead, they feel envious and dissatisfied with others who appear to be in better situations. However, this envy only elicits ridicule and scorn from those individuals. Ultimately, this leads to negative outcomes.",2023-06-16 15:59:12.63739+00,2023-06-16 15:59:12.637401+00,,27
158,2,f,f,"Turning to the summit for nourishment,
Deviating from the path
To seek nourishment from the hill.
Continuing to do this brings misfortune.","Individuals typically sustain themselves through their own efforts or receive appropriate support from those with the responsibility to provide for them. However, when a person lacks the willpower to support themselves, they experience a sense of discomfort. This is because by avoiding the rightful means of earning a livelihood, they begin to view support as a benevolent gesture from those of higher status. Such behavior is undignified as it deviates from their inherent nature. Continuously relying on others in this manner ultimately results in unfortunate consequences.",2023-06-16 15:59:52.116886+00,2023-06-16 15:59:52.116898+00,,27
159,3,f,f,"Turning away from nourishment.
Perseverance brings misfortune.
Do not act thus for ten years.
Nothing serves to further.",Endless pursuit of pleasure and gratification leads to a cycle of desire and dissatisfaction. Seeking nourishment that doesn't truly satisfy only perpetuates this cycle. It is unwise to follow this path as it ultimately brings no good.,2023-06-16 16:00:36.00402+00,2023-06-16 16:00:36.004031+00,,27
160,4,f,f,"Turning to the summit
For provision of nourishment
Brings good fortune.
Spying about with sharp eyes
Like a tiger with insatiable craving.
No blame.","This line describes a person in a high position who seeks to shine their light and accomplish their goals. They require assistance and actively seek capable individuals. Their motivation stems from benefiting everyone rather than personal gain, making their ambition justified.",2023-06-16 16:02:12.322445+00,2023-06-16 16:02:12.32246+00,,27
161,5,t,t,"Turning away from the path.
To remain persevering brings good fortune.
One should not cross the great water.","A person who recognizes their own limitations and desires to help others should seek guidance and assistance from someone spiritually superior, even if they may not appear so outwardly. By maintaining this humble mindset and seeking support, they can achieve success and good fortune. However, they should remember their dependence and avoid self-promotion or overwhelming challenges.",2023-06-16 16:03:08.321472+00,2023-06-16 16:03:08.321486+00,,27
162,6,t,t,"The source of nourishment.
Awareness of danger brings good fortune.
It furthers one to cross the great water.","This is about a highly esteemed sage whose influence nourishes others. They have great responsibility, but if they remain aware of it, they'll have good fortune and can take on challenging tasks, like crossing vast waters. These endeavors bring happiness to them and everyone else.",2023-06-16 16:03:55.566515+00,2023-06-16 16:03:55.566525+00,,27
163,1,f,f,"To spread white rushes underneath.
No blame.","In times of uncertainty, it is crucial for anyone embarking on a challenging endeavor to exercise exceptional caution. Similar to placing a heavy object on the ground with protective padding, meticulous care must be taken to prevent any mishaps. This level of caution, although it may appear excessive, is essential. Remarkable undertakings can only flourish if their initial stages and foundations are approached with utmost care.",2023-06-16 17:52:44.543799+00,2023-06-16 17:52:44.54381+00,,28
164,2,t,t,"A dry poplar sprouts at the root.
An older man takes a young wife.
Everything furthers.","An extraordinary situation comes from an older man marrying a young girl who complements him. This uncommon union symbolizes the connection between wood and water, signifying renewal. Politically speaking, it suggests that in exceptional circumstances, aligning oneself with the humble offers an opportunity for rejuvenation.",2023-06-16 17:54:47.866666+00,2023-06-16 17:54:47.866676+00,,28
